open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,sma_50,ema_50,rsi,macd,macd_signal,macd_hist,doji,hammer,close_lag_1
2024-04-22 03:00:00,0.16710928365026415,0.7865571647493866,0.30061469270732605,0.7903849907003382,0.3577704897917075,2024-04-22 03:59:59.999,12748456.3818,33744,10132656,7345170.0602,0,0.05432530811972383,-0.04381286769251568,1.100179980812197,-0.061711550165133654,-0.13503820049472648,0.18546585129320034,0,0,0.1713742655688177
2024-04-22 04:00:00,0.7902234629748024,0.9308752861825579,0.8815846141932352,1.0540377069600606,0.28940086853126135,2024-04-22 04:59:59.999,12390785.3872,30134,8165050,5984963.9472,0,0.11411767422132028,0.012933898291083807,1.4788391472772495,0.21070336468460152,-0.0643319404529943,0.801639319422052,0,0,0.7903849907003382
2024-04-22 05:00:00,1.0539957229342705,1.0907953666895838,1.0603445900350494,1.2183430228900312,-0.2919781714760931,2024-04-22 05:59:59.999,8225158.0376,22556,5669960,4180211.5581,0,0.17579092601154778,0.07678487048605984,1.6847170521515222,0.4787513409457107,0.05054794738449523,1.284199644306353,0,0,1.0540377069600606
2024-04-22 06:00:00,1.2145527507356848,1.2117105495119689,1.2167595688966433,1.0846061378307539,-0.15182737195896354,2024-04-22 06:59:59.999,9298612.4497,23651,5695367,4221785.8328,0,0.23221749667034122,0.13053804727979218,1.3067375955550258,0.6352034069461355,0.1764886131307945,1.4050294888875345,0,0,1.2183430228900312
2024-04-22 07:00:00,1.0845780139440648,1.1102978155319017,1.0193787622379666,0.8668060678770693,-0.4277404580143709,2024-04-22 07:59:59.999,7229555.5903,20576,4719154,3476585.7446,0,0.2831993982304821,0.1698161524899139,0.7468701771648353,0.6727906640362782,0.2854183997028554,1.2191997123782916,0,0,1.0846061378307539
2024-04-22 08:00:00,0.8705019768755096,0.7982586340547775,0.8778604480298603,0.7751007752649937,-0.47476220522978035,2024-04-22 08:59:59.999,6839090.7042,17392,4555667,3332045.0306,0,0.32814266679029286,0.20234673822077973,0.5279634106719577,0.6612956562661091,0.37006144531044705,0.9538871674276428,0,0,0.8668060678770693
2024-04-22 09:00:00,0.7787551038461312,0.9269747964140943,0.8890329465199768,1.0578587608188967,-0.21518951216666898,2024-04-22 09:59:59.999,8753495.5257,18174,5968947,4384513.9975,0,0.3789265803832042,0.24965715305992126,0.9837710588634433,0.7435505272548134,0.4556707489091743,0.9644427362905925,0,0,0.7751007752649937
2024-04-22 10:00:00,1.0578185093104944,1.098596346226511,1.1534487441193317,1.2183430228900312,-0.24708563801902436,2024-04-22 10:59:59.999,8578096.4613,20253,5805909,4292575.5148,0,0.43792699461590456,0.30422486036200325,1.2103033060288064,0.855192691549176,0.5484463788608832,1.0427289207332915,0,0,1.0578587608188967
2024-04-22 11:00:00,1.2221983234881322,1.1024968359949745,1.112482916322249,1.065500868536569,-0.6135259659776398,2024-04-22 11:59:59.999,5888052.7409,15682,3576032,2638664.3386,0,0.4948485351927553,0.34797398819400954,0.8334876586911784,0.8780762101575905,0.6276452813006063,0.8944144089766001,0,0,1.2183430228900312
2024-04-22 12:00:00,1.0692868684391696,1.344327201639745,1.168345408772815,1.2641956691960732,0.3083228409015142,2024-04-22 12:59:59.999,12686588.5219,27556,9285280,6894140.3327,0,0.5572147448682642,0.40128973414791197,1.1234579242189733,0.9551462042139447,0.7077712802219065,0.9045421707583003,0,0,1.065500868536569
2024-04-22 13:00:00,1.264248973626602,1.3170237732604952,1.1236554148123612,1.1533851072898127,-0.058039193007552295,2024-04-22 13:59:59.999,9978476.2217,23950,6368611,4718406.3384,0,0.6146312553631778,0.4462226312346403,0.8526994558527344,0.9646287863687641,0.7739350519890855,0.7520163944568096,0,0,1.2641956691960732
2024-04-22 14:00:00,1.1533881687161007,1.08689487692112,1.0491720915449372,0.931763983477292,-0.3525531851370001,2024-04-22 14:59:59.999,7785817.1388,19271,4778599,3524554.4138,0,0.6625443434313434,0.4768093833250999,0.35177109641765225,0.8819671862979616,0.808882716796398,0.41100626085797554,0,0,1.1533851072898127
2024-04-22 15:00:00,0.9354893452713217,0.9932831224779801,0.8629637833763771,1.111353514842611,0.35245792494899314,2024-04-22 15:59:59.999,12834745.0762,28876,8207223,6012203.6638,0,0.7110513954011812,0.5163940914626886,0.6484971725869031,0.869562342796856,0.8341421266901335,0.3051700940782437,0,0,0.931763983477292
2024-04-22 16:00:00,1.115160304953859,1.1024968359949745,0.9635162697874008,0.9432271450538002,-0.18458584506248782,2024-04-22 16:59:59.999,8992386.7868,22613,5828048,4289340.1115,0,0.7535198143706888,0.5448799217869104,0.2862210710439395,0.7897035169556738,0.8369760564336923,0.060190283115218325,0,0,1.111353514842611
2024-04-22 17:00:00,0.9469577043999929,1.2429144676596822,1.0975862516687616,1.1915956458781782,-0.1752746190070219,2024-04-22 17:59:59.999,9112835.2897,21590,6419680,4752330.5577,0,0.788563684569309,0.5863514984680372,0.6887732907431237,0.8048044420564593,0.8425284652190325,0.08988741679095924,0,0,0.9432271450538002
2024-04-22 18:00:00,1.1877932461021186,1.1376012439111514,1.2651737290204677,1.1419219457133,-0.9088027687371245,2024-04-22 18:59:59.999,3748544.882,13045,2369880,1755346.2147,0,0.819548801439845,0.6233761712602931,0.5790215789114553,0.7890121002741826,0.8435347068684985,0.0402243033104693,0,0,1.1915956458781782
2024-04-22 19:00:00,1.1419198095874252,1.040088999699548,1.1050345839955074,1.0960692994072623,-0.8270219027954789,2024-04-22 19:59:59.999,4325818.8341,13314,2718317,2003709.6998,0,0.8255874344401751,0.6563452952859735,0.47455904106843466,0.7505432920034466,0.835970661324932,-0.053398991369864465,0,0,1.1419219457133
